,,,,,,,,,,,,
"Country,",Total,New,Total,New,Total,Active,"Serious,",Tot Cases/,Deaths/,Total,Tests/,Population
Other,Cases,Cases,Deaths,Deaths,Recovered,Cases,Critical,1M pop,1M pop,Tests,1M pop,
Mayotte,"1,699",,21,,"1,385",293,9,"6,242",77,"5,200","19,103","272,210"
Lithuania,"1,675",,70,,"1,236",369,17,615,26,"302,859","111,140","2,725,022"
Sri Lanka,"1,633",,10,,801,822,1,76,0.5,"63,935","2,987","21,405,965"
Nepal,"1,572",,8,,220,"1,344",,54,0.3,"180,691","6,211","29,090,429"
Slovakia,"1,521",,28,,"1,366",127,,279,5,"172,601","31,615","5,459,433"
Venezuela,"1,510",,14,,302,"1,194",3,53,0.5,"975,825","34,309","28,442,184"
New Zealand,"1,504",,22,,"1,481",1,,301,4,"280,983","56,173","5,002,100"
Slovenia,"1,473",,108,,"1,358",7,2,709,52,"79,897","38,432","2,078,915"
Equatorial Guinea,"1,306",,12,,200,"1,094",,934,9,"8,268","5,912","1,398,520"
Mali,"1,265",,77,,716,472,,63,4,"3,483",172,"20,195,689"
Guinea-Bissau,"1,256",,8,,42,"1,206",,640,4,"1,500",764,"1,963,739"
Lebanon,"1,220",,27,,712,481,3,179,4,"83,574","12,240","6,827,788"
Ethiopia,"1,172",,11,,209,952,4,10,0.1,"109,451",954,"114,700,869"
Albania,"1,137",,33,,872,232,4,395,11,"14,723","5,116","2,878,043"
Hong Kong,"1,085",,4,,"1,037",44,2,145,0.5,"202,930","27,087","7,491,921"
Tunisia,"1,077",,48,,960,69,2,91,4,"51,881","4,394","11,808,177"
Latvia,"1,066",,24,,745,297,3,565,13,"109,071","57,779","1,887,728"
Zambia,"1,057",,7,,779,271,1,58,0.4,"24,275","1,324","18,335,514"
Costa Rica,"1,056",,10,,669,377,4,207,2,"26,622","5,230","5,090,223"
CAR,"1,011",,2,,23,986,,210,0.4,"15,021","3,115","4,822,363"
South Sudan,994,,10,,6,978,,89,0.9,"3,356",300,"11,182,555"
Paraguay,986,,11,,477,498,2,138,2,"30,004","4,211","7,125,055"
Niger,958,,64,,839,55,,40,3,"6,047",251,"24,120,048"
Cyprus,944,,17,,790,137,4,782,14,"117,411","97,305","1,206,632"
Sierra Leone,861,,46,,454,361,,108,6,,,"7,962,417"
Burkina Faso,847,,53,,720,74,,41,3,,,"20,849,535"
Uruguay,823,,22,,685,116,5,237,6,"43,911","12,644","3,472,758"
Georgia,783,,12,,605,166,6,196,3,"56,987","14,283","3,989,764"
Chad,778,,65,,491,222,,47,4,,,"16,381,333"
Madagascar,771,,6,,168,597,8,28,0.2,"10,249",371,"27,624,966"
Andorra,764,,51,,694,19,4,"9,889",660,"3,750","48,541","77,255"
Nicaragua,759,,35,,370,354,,115,5,,,"6,617,838"
Jordan,739,,9,,522,208,5,72,0.9,"187,990","18,440","10,194,610"
Diamond Princess,712,,13,,651,48,4,,,,,0
San Marino,671,,42,,357,272,1,"19,779","1,238","4,466","131,643","33,925"
Malta,618,,9,,534,75,1,"1,400",20,"69,025","156,360","441,449"
Congo,611,,20,,179,412,,111,4,,,"5,505,568"
Jamaica,586,5,9,,311,266,2,198,3,"12,702","4,291","2,960,117"
Channel Islands,560,,45,,528,-13,,"3,223",259,"10,255","59,029","173,729"
Mauritania,530,,23,,27,480,,114,5,"7,654","1,650","4,638,278"
Tanzania,509,,21,,183,305,7,9,0.4,,,"59,573,674"
French Guiana,499,,1,,200,298,2,"1,675",3,,,"297,963"
Sao Tome and Principe,483,,12,,68,403,,"2,208",55,175,800,"218,798"
Réunion,471,,1,,411,59,1,526,1,"17,200","19,223","894,784"
Palestine,448,,3,,372,73,,88,0.6,"44,876","8,816","5,090,574"
Togo,442,,13,,211,218,,54,2,"20,079","2,431","8,260,968"
Taiwan,442,,7,,423,12,,19,0.3,"72,082","3,027","23,813,331"
Cabo Verde,435,,4,,193,238,,783,7,"1,307","2,353","555,476"
Uganda,417,,,,72,345,,9,,"96,825","2,123","45,602,136"
Rwanda,370,,1,,256,113,,29,0.08,"66,976","5,183","12,922,594"
Isle of Man,336,,24,,309,3,,"3,953",282,"4,892","57,556","84,996"
Mauritius,335,,10,,322,3,,263,8,"116,937","91,961","1,271,600"
Vietnam,328,,,,279,49,1,3,,"275,000","2,827","97,265,308"
Montenegro,324,,9,,315,0,,516,14,"10,167","16,188","628,060"
Yemen,323,,80,,14,229,,11,3,120,4,"29,766,367"
Liberia,288,,27,,157,104,,57,5,,,"5,046,798"
Eswatini,285,,2,,189,94,,246,2,"4,994","4,308","1,159,150"
Malawi,284,,4,,42,238,1,15,0.2,"5,049",265,"19,084,049"
Mozambique,254,,2,,91,161,,8,0.06,"10,878",349,"31,173,041"
Benin,232,,3,,143,86,,19,0.2,"30,817","2,548","12,093,650"
Myanmar,224,,6,,138,80,,4,0.1,"24,710",454,"54,379,727"
Martinique,200,,14,,98,88,,533,37,,,"375,288"
Faeroe Islands,187,,,,187,0,,"3,828",,"9,677","198,104","48,848"
Mongolia,179,,,,44,135,19,55,,"13,672","4,176","3,273,672"
Zimbabwe,178,,4,,29,145,,12,0.3,"46,613","3,140","14,844,179"
Gibraltar,170,,,,149,21,,"5,046",,"7,632","226,523","33,692"
Guadeloupe,162,,14,,138,10,1,405,35,"4,137","10,339","400,119"
Libya,156,,5,,52,99,,23,0.7,"5,591",815,"6,863,245"
Guyana,153,,12,,70,71,2,195,15,"1,618","2,058","786,243"
Brunei,141,,2,,138,1,1,323,5,"19,386","44,349","437,127"
Cayman Islands,141,,1,,68,72,,"2,148",15,"11,139","169,657","65,656"
Bermuda,140,,9,,92,39,2,"2,247",144,"7,171","115,112","62,296"
Cambodia,125,,,,123,2,1,7,,"20,406","1,222","16,699,008"
Syria,122,,5,,46,71,,7,0.3,,,"17,461,550"
Trinidad and Tobago,117,,8,,108,1,,84,6,"3,138","2,243","1,399,123"
Comoros,106,,2,,26,78,,122,2,,,"867,928"
Bahamas,102,,11,,48,43,1,260,28,"2,091","5,322","392,929"
Aruba,101,,3,,98,0,,946,28,"2,134","19,995","106,729"
Monaco,99,,4,,90,5,1,"2,524",102,,,"39,219"
Barbados,92,,7,,76,9,1,320,24,"5,434","18,911","287,347"
Angola,86,,4,,18,64,1,3,0.1,"10,000",305,"32,768,267"
Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,610","38,119"
Sint Maarten,77,,15,,60,2,1,"1,798",350,461,"10,762","42,835"
Burundi,63,,1,,33,29,,5,0.08,284,24,"11,857,105"
French Polynesia,60,,,,60,0,,214,,"4,040","14,389","280,775"
Macao,45,,,,45,0,,69,,,,"648,573"
Bhutan,43,,,,6,37,,56,,"17,038","22,102","770,888"
Saint Martin,41,,3,,33,5,1,"1,062",78,614,"15,903","38,608"
Eritrea,39,,,,39,0,,11,,,,"3,542,188"
Botswana,35,,1,,20,14,,15,0.4,"20,186","8,599","2,347,367"
Antigua and Barbuda,26,,3,,19,4,1,266,31,183,"1,870","97,861"
St. Vincent Grenadines,26,,,,15,11,,234,,593,"5,347","110,912"
Gambia,25,,1,,20,4,,10,0.4,"1,756",729,"2,410,277"
Namibia,24,,,,14,10,,9,,"3,680","1,451","2,536,830"
Timor-Leste,24,,,,24,0,,18,,"1,290",980,"1,316,208"
Suriname,23,,1,,9,13,,39,2,782,"1,334","586,192"
Grenada,23,,,,18,5,4,204,,"3,007","26,733","112,481"
Curaçao,19,,1,,14,4,,116,6,572,"3,487","164,039"
Laos,19,,,,16,3,,3,,"6,928",953,"7,266,416"
New Caledonia,19,,,,18,1,,67,,"6,614","23,185","285,267"
Belize,18,,2,,16,0,,45,5,"1,572","3,960","396,989"
Fiji,18,,,,15,3,,20,,"2,431","2,713","895,908"
Saint Lucia,18,,,,18,0,,98,,"1,012","5,513","183,559"
Dominica,16,,,,16,0,,222,,433,"6,016","71,972"
Saint Kitts and Nevis,15,,,,15,0,,282,,396,"7,448","53,168"
Falkland Islands,13,,,,13,0,,"3,746",,503,"144,957","3,470"
Greenland,13,,,,11,2,,229,,"2,141","37,719","56,762"
Turks and Caicos,12,,1,,11,0,,310,26,129,"3,336","38,672"
Vatican City,12,,,,2,10,,"14,981",,,,801
Montserrat,11,,1,,10,0,,"2,204",200,61,"12,220","4,992"
Seychelles,11,,,,11,0,,112,,,,"98,297"
MS Zaandam,9,,2,,,7,,,,,,0
Western Sahara,9,,1,,6,2,,15,2,,,"595,986"
British Virgin Islands,8,,1,,7,0,,265,33,167,"5,527","30,214"
Papua New Guinea,8,,,,8,0,,0.9,,"2,402",269,"8,931,936"
Caribbean Netherlands,6,,,,6,0,,229,,424,"16,181","26,203"
St. Barth,6,,,,6,0,,608,,137,"13,873","9,875"
Anguilla,3,,,,3,0,,200,,41,"2,735","14,992"
Lesotho,2,,,,1,1,,0.9,,283,132,"2,140,838"
Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,796"
China,"83,017",16,"4,634",,"78,307",76,3,58,3,,,"1,439,323,776"
,"6,262,805","3,556","373,855",158,"2,846,523","3,042,427","53,409",803.5,48,,,
